,Hour,Weekend,name,Proportion Of Bikes Available,lat,long
0,23,True,Washington at Kearney,0.4705128205128205,37.795425,-122.40476699999999
1,8,False,Washington at Kearney,0.3992395437262359,37.795425,-122.40476699999999
2,4,False,Washington at Kearney,0.5699745547073791,37.795425,-122.40476699999999
3,19,False,Washington at Kearney,0.5246819338422393,37.795425,-122.40476699999999
4,15,True,Washington at Kearney,0.4802588996763755,37.795425,-122.40476699999999
5,21,True,Washington at Kearney,0.47756410256410253,37.795425,-122.40476699999999
6,0,False,Washington at Kearney,0.5659033078880408,37.795425,-122.40476699999999
7,2,False,Washington at Kearney,0.5692111959287532,37.795425,-122.40476699999999
8,12,True,Washington at Kearney,0.4794871794871795,37.795425,-122.40476699999999
9,21,False,Washington at Kearney,0.5819338422391858,37.795425,-122.40476699999999
10,12,False,Washington at Kearney,0.432446134347275,37.795425,-122.40476699999999
11,8,True,Washington at Kearney,0.49743589743589745,37.795425,-122.40476699999999
12,4,True,Washington at Kearney,0.5352564102564104,37.795425,-122.40476699999999
13,16,True,Washington at Kearney,0.4717948717948717,37.795425,-122.40476699999999
14,7,False,Washington at Kearney,0.5122137404580153,37.795425,-122.40476699999999
15,19,True,Washington at Kearney,0.45576923076923076,37.795425,-122.40476699999999
16,9,False,Washington at Kearney,0.4141951837769328,37.795425,-122.40476699999999
17,22,True,Washington at Kearney,0.4705128205128207,37.795425,-122.40476699999999
18,13,True,Washington at Kearney,0.4815533980582526,37.795425,-122.40476699999999
19,22,False,Washington at Kearney,0.5804071246819335,37.795425,-122.40476699999999
20,9,True,Washington at Kearney,0.4846153846153847,37.795425,-122.40476699999999
21,7,True,Washington at Kearney,0.5320512820512819,37.795425,-122.40476699999999
22,15,False,Washington at Kearney,0.44942965779467675,37.795425,-122.40476699999999
23,18,False,Washington at Kearney,0.4834605597964378,37.795425,-122.40476699999999
24,0,True,Washington at Kearney,0.5403846153846154,37.795425,-122.40476699999999
25,3,False,Washington at Kearney,0.5699745547073789,37.795425,-122.40476699999999
26,1,True,Washington at Kearney,0.5391025641025643,37.795425,-122.40476699999999
27,11,False,Washington at Kearney,0.42697201017811703,37.795425,-122.40476699999999
28,11,True,Washington at Kearney,0.4705128205128204,37.795425,-122.40476699999999
29,2,True,Washington at Kearney,0.541747572815534,37.795425,-122.40476699999999
30,5,False,Washington at Kearney,0.5699745547073791,37.795425,-122.40476699999999
31,17,False,Washington at Kearney,0.472264631043257,37.795425,-122.40476699999999
32,6,True,Washington at Kearney,0.535897435897436,37.795425,-122.40476699999999
33,13,False,Washington at Kearney,0.45779467680608354,37.795425,-122.40476699999999
34,14,True,Washington at Kearney,0.4912621359223301,37.795425,-122.40476699999999
35,10,False,Washington at Kearney,0.44410646387832714,37.795425,-122.40476699999999
36,16,False,Washington at Kearney,0.4623574144486691,37.795425,-122.40476699999999
37,6,False,Washington at Kearney,0.568702290076336,37.795425,-122.40476699999999
38,17,True,Washington at Kearney,0.467948717948718,37.795425,-122.40476699999999
